Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Dedgar Jimenez","Red Sox (AA)",23,1,2,4.984614653277081,5,5,0,0,0,0,,21.2,93,19,13,12,4,12,0,0,0,0,19,"sa736925"
"Oscar De La Cruz","- - -",24,1,1,1.35,4,4,0,0,0,0,,20,84,15,5,3,0,9,0,2,0,1,22,"sa737037"
"Daniel Gonzalez","Red Sox (A+)",23,1,3,3.0306117730258593,6,6,0,0,0,0,,32.2,139,39,13,11,1,9,0,1,1,0,17,"sa737056"
"Dario Agrazal","- - -",24,2,1,2.7931032186456206,6,6,0,0,0,0,,38.2,148,38,13,12,3,2,0,0,0,0,32,"sa737059"
"Gerson Garabito","Royals (AA)",23,2,2,3.9036140093040457,6,6,0,0,0,0,,27.2,129,29,13,12,1,17,0,2,0,0,19,"sa737361"
"Ofreidy Gomez","Royals (AA)",23,1,2,4.2,6,6,0,0,0,0,,30,129,24,17,14,5,12,0,3,0,0,28,"sa737451"
"Jonathan Hernandez","Rangers (AA)",22,2,2,7.177216056294508,6,5,0,0,0,0,,26.1,120,31,21,21,5,12,0,1,3,0,28,"sa737482"
"Hunter Harvey","Orioles (AA)",24,1,2,4.784810704196339,6,6,0,0,0,0,,26.1,115,29,19,14,7,9,0,2,1,0,27,"sa737510"
"Devin Williams","Brewers (AA)",24,5,1,3.4714290443732456,11,0,0,0,0,0,,23.1,104,20,11,9,1,17,0,0,5,0,34,"sa737560"
"Akeem Bostick","Astros (AAA)",24,2,1,7.524591340329427,6,3,0,0,0,0,,20.1,99,25,18,17,2,13,0,3,1,0,18,"sa737616"
"Patrick Murphy","Blue Jays (AA)",24,0,4,4.547367964557049,6,6,0,0,0,0,,31.2,140,27,22,16,3,10,0,3,1,0,32,"sa737629"
"Sean Brady","- - -",25,1,3,7.67045537671776,6,6,0,0,0,0,,29.1,140,38,26,25,3,16,0,2,3,0,21,"sa737808"
"Conner Greene","Royals (AA)",24,2,2,3.789473684210526,7,7,0,0,0,0,,38,161,29,20,16,3,18,0,2,7,0,39,"sa737829"
"Trevor Clifton","Cubs (AAA)",24,1,0,1.1911763035302578,6,5,0,0,0,0,,22.2,91,14,4,3,2,9,0,1,2,0,27,"sa737901"
"Matt Ball","Angels (AA)",24,1,2,4.178571428571429,6,6,0,0,0,0,,28,120,27,13,13,2,12,0,2,5,0,34,"sa737933"
"Tyler Alexander","Tigers (AAA)",24,1,3,7.012986144401978,6,5,0,0,0,0,,25.2,122,41,21,20,9,5,0,2,2,0,28,"sa738285"
"Ian McKinney","Mariners (A+)",24,1,2,4.935483870967742,7,7,0,0,0,0,,31,142,32,23,17,2,10,0,8,3,0,27,"sa738318"
"Cory Thompson","Reds (A+)",24,4,0,2.142857142857143,11,0,0,0,0,0,,21,77,12,6,5,2,4,0,0,4,0,24,"sa738349"
"Tyler Alexander","Athletics (AAA)",27,0,2,7.5189882494513895,6,6,0,0,0,0,,26.1,123,35,22,22,9,11,0,1,0,0,22,"sa738376"
"Logan Shore","Tigers (AA)",24,1,2,4.05,4,4,0,0,0,0,,20,89,22,9,9,2,8,0,1,1,0,13,"sa738442"
"Joe Palumbo","Rangers (AA)",24,0,0,3.3333333333333335,5,4,0,0,0,0,,27,111,19,10,10,3,15,0,0,0,0,35,"sa738453"
"Sterling Sharp","Nationals (AA)",24,3,2,4.00990038429481,6,6,0,0,0,0,,33.2,141,36,15,15,1,8,0,1,1,0,31,"sa738458"
"Anthony Kay","Mets (AA)",24,3,2,1.4727270684360756,7,7,0,0,0,0,,36.2,146,19,7,6,2,15,0,4,0,0,37,"sa738470"
"Wil Crowe","Nationals (AA)",24,3,1,2.25,6,6,0,0,0,0,,32,126,27,9,8,0,9,0,1,2,0,28,"sa738488"
"Garrett Williams","Giants (AA)",24,1,2,4.125,6,6,0,0,0,0,,24,102,22,12,11,3,7,0,2,1,0,24,"sa738512"
"Thomas Hatch","Cubs (AA)",24,1,4,5.845361744259194,7,7,0,0,0,0,,32.1,141,31,25,21,6,11,0,3,0,0,33,"sa738514"
"Mike Shawaryn","Red Sox (AAA)",24,1,2,2.7247710236395073,6,6,0,0,0,0,,36.1,146,30,13,11,1,12,0,2,3,1,27,"sa738524"
"Griffin Jax","Twins (AA)",24,2,0,0.5294117647058824,6,6,0,0,0,0,,34,132,24,4,2,1,10,0,3,1,0,25,"sa738570"
"Cole Stapler","Diamondbacks (A+)",24,2,3,3.9375,6,6,0,0,0,0,,32,131,35,15,14,5,2,0,1,3,0,32,"sa738639"
"Justin Dunn","Mariners (AA)",23,2,1,3.1973688222695427,5,5,0,0,0,0,,25.1,103,21,10,9,1,8,0,2,3,1,33,"sa738718"
"Zack Brown","Brewers (AAA)",24,1,3,3.9913048774128628,7,7,0,0,0,0,,38.1,165,40,20,17,4,18,0,2,2,0,32,"sa738901"
"Scott Moss","Reds (AA)",24,1,1,3.857142857142857,6,6,0,0,0,0,,28,121,17,13,12,3,26,0,0,0,0,42,"sa738902"
"Daulton Jefferies","- - -",23,1,0,2.5714285714285716,7,5,0,0,0,0,,21,79,16,6,6,2,2,0,0,2,0,24,"sa738964"
"Arturo Reyes","- - -",27,4,2,3.030611927858876,6,5,0,0,0,0,,32.2,131,28,18,11,5,5,0,1,2,0,25,"sa739006"
"Sal Mendez","Rangers (A+)",24,1,0,2.3823526070605157,9,0,0,0,1,0,,22.2,93,17,9,6,1,7,0,3,0,0,25,"sa739012"
"Connor Brogdon","Phillies (A+)",24,2,0,1.8,10,0,0,0,0,2,,20,75,11,6,4,1,5,0,1,2,0,23,"sa739015"
"Shaun Anderson","Giants (AAA)",24,2,1,3.943819802121387,6,6,0,0,0,0,,29.2,126,29,15,13,3,8,0,0,3,0,32,"sa739018"
"Luis Ysla","Orioles (AAA)",27,2,2,4.879517511630057,8,3,0,0,0,0,,27.2,119,30,18,15,3,10,0,2,2,0,21,"sa739569"
"Lewis Thorpe","Twins (AAA)",23,2,2,8.191010358252113,6,6,0,0,0,0,,29.2,135,35,28,27,5,11,0,0,1,0,38,"sa739599"
"Victor Gonzalez","Dodgers (A+)",23,1,1,1.9852938392170962,7,5,0,0,0,0,,22.2,95,15,7,5,0,12,0,0,1,0,30,"sa739644"
"Emerson Martinez","Rangers (AA)",24,1,1,6.412499235570522,5,5,0,0,0,0,,26.2,126,38,20,19,3,10,0,1,0,0,23,"sa747285"
"Francys Peguero","Nationals (A)",23,1,1,2.4545454545454546,6,6,0,0,0,0,,33,132,28,10,9,3,6,0,2,1,0,31,"sa748442"
"Erling Moreno","Cubs (A+)",22,2,4,9.246576550441448,6,5,0,0,0,0,,24.1,116,30,26,25,3,20,0,3,3,0,11,"sa827076"
"Kyle Kubat","- - -",26,3,0,0.75,6,6,0,0,0,0,,36,132,19,4,3,0,5,0,3,0,0,31,"sa827380"
"Arnaldo Hernandez","Royals (AAA)",23,0,2,10.58107971744541,6,5,0,0,0,0,,24.2,130,46,32,29,7,10,0,1,1,0,18,"sa828154"
"Ofelky Peralta","Orioles (A)",22,2,0,1.065789607423181,6,5,0,0,1,0,,25.1,95,12,4,3,1,7,0,1,0,0,35,"sa828239"
"Luis Madero","- - -",22,1,2,3.24,6,5,0,0,0,0,,25,110,27,12,9,2,10,0,0,2,0,29,"sa828288"
"Enmanuel De Jesus","Red Sox (A+)",22,2,3,4.44705932247603,6,6,0,0,0,0,,28.1,122,27,17,14,1,12,1,2,1,0,26,"sa828317"
"Gabriel Valdez","Astros (AA)",23,1,2,7.967214360348804,7,2,0,0,0,1,,20.1,93,18,18,18,9,16,0,2,2,0,16,"sa828365"
"Albert Abreu","Yankees (AA)",23,1,2,4.724999436736174,6,5,0,0,0,0,,26.2,128,32,16,14,2,19,0,2,4,0,21,"sa828366"
"Jhonathan Diaz","Red Sox (A+)",22,2,2,7.826086956521739,6,6,0,0,0,0,,23,108,30,20,20,1,12,0,2,1,0,27,"sa828483"
"Harol Gonzalez","Mets (AA)",24,3,0,2.88,5,4,0,0,0,0,,25,95,16,8,8,4,6,0,0,2,0,30,"sa828505"
"Genesis Cabrera","Cardinals (AAA)",22,1,2,7.061537425475865,6,4,0,0,0,1,,21.2,105,24,17,17,8,14,0,2,1,1,20,"sa828534"
"Bryan Abreu","- - -",22,1,1,5.661289451769944,5,4,0,0,0,1,,20.2,90,14,13,13,5,13,0,3,5,2,32,"sa828588"
"Marcos Diplan","Brewers (AA)",22,0,2,7.767124302370816,7,5,0,0,0,0,,24.1,120,30,23,21,3,16,0,0,7,0,28,"sa828590"
"Cristopher Molina","Angels (A)",22,1,1,1.6071428571428572,6,3,0,0,0,0,,28,113,18,5,5,0,10,0,2,1,0,32,"sa828598"
"Kodi Medeiros","White Sox (AA)",23,0,5,6.942858088746491,5,5,0,0,0,0,,23.1,125,33,24,18,3,17,1,5,3,0,21,"sa828664"
"Foster Griffin","Royals (AAA)",23,2,1,3.6185572702556916,6,6,0,0,0,0,,32.1,137,26,13,13,2,15,0,0,2,0,30,"sa828674"
"Ryan Castellani","Rockies (AAA)",23,2,1,5.323942946858077,5,5,0,0,0,0,,23.2,110,23,15,14,7,15,0,2,1,0,28,"sa828689"
"Scott Blewett","Royals (AAA)",23,2,3,6.950493999444339,6,6,0,0,0,0,,33.2,155,40,27,26,7,16,0,2,1,0,22,"sa828695"
"Mitch Keller","Pirates (AAA)",23,3,0,3.9705882352941178,7,7,0,0,0,0,,34,152,38,16,15,4,17,0,2,0,0,42,"sa828700"
"Trey Supak","Brewers (AA)",23,3,1,2.268907272094307,7,7,0,0,0,0,,39.2,154,30,12,10,1,10,1,1,1,2,22,"sa828707"
"Alejandro Requena","Phillies (A+)",22,2,1,3.375,6,6,0,0,0,0,,32,134,33,14,12,4,10,0,2,2,0,31,"sa828724"
"Hector Guance","Orioles (A)",23,1,1,4.569230098837324,6,5,0,0,0,0,,21.2,96,15,11,11,1,18,0,3,6,0,22,"sa828746"
"Brian Gonzalez","Orioles (AA)",23,0,0,4.218750628642831,8,1,0,0,0,0,,21.1,87,16,10,10,5,7,0,0,1,0,19,"sa828794"
"Nelson Hernandez","Brewers (A+)",22,4,0,4.794391839657815,7,7,0,0,0,0,,35.2,160,41,19,19,2,14,0,2,0,0,32,"sa828823"
"Logan Webb","Giants (AA)",22,1,2,2,5,5,0,0,0,0,,27,112,24,7,6,1,7,0,0,0,0,31,"sa828873"
"Sam Hentges","Indians (AA)",22,1,4,6.256098288570763,6,6,0,0,0,0,,27.1,135,37,26,19,4,18,0,0,0,0,29,"sa828881"
"Felix Paulino","White Sox (AA)",24,3,2,3.857142857142857,6,5,0,0,0,0,,35,154,36,16,15,5,13,0,3,1,0,30,"sa828972"
"Dylan Cease","White Sox (AAA)",23,2,1,3.3287675581589213,5,5,0,0,0,0,,24.1,98,21,13,9,2,7,0,1,4,0,30,"sa829000"
"Jake Latz","- - -",23,2,1,3.4714290443732456,6,6,0,0,0,0,,23.1,101,17,11,9,0,13,0,1,1,0,29,"sa829008"
"Tanner Houck","Red Sox (AA)",23,3,1,4.618421632167117,5,5,1,1,0,0,,25.1,112,30,13,13,0,10,0,0,1,0,25,"sa829037"
"Jordan Yamamoto","Marlins (AA)",23,1,3,4.064516129032258,6,6,0,0,0,0,,31,129,22,14,14,3,16,0,3,0,0,31,"sa829040"
"Emilio Ogando","Royals (AA)",25,1,0,3.5217391304347827,9,0,0,0,0,0,,23,91,14,9,9,1,7,0,2,0,0,27,"sa829049"
"Sam McWilliams","Rays (AA)",23,1,1,4.029851319875478,5,3,0,0,0,0,,22.1,106,26,11,10,1,13,0,4,3,0,15,"sa829124"
"Tanner Banks","White Sox (AA)",27,0,3,3.176470944625736,8,4,0,0,1,0,,28.1,115,26,13,10,3,6,0,1,0,0,18,"sa829193"
"Dustin Beggs","- - -",26,2,1,3.9705882352941178,7,6,0,0,0,0,,34,146,44,15,15,4,12,0,1,0,0,22,"sa829242"
"McKenzie Mills","Marlins (AA)",23,1,5,4.5,6,6,0,0,0,0,,30,135,31,16,15,6,15,0,2,1,0,24,"sa829294"
"Zach Hedges","Cubs (AA)",26,1,0,3.176470142747354,5,4,0,0,0,0,,22.2,88,21,8,8,2,2,0,0,0,0,15,"sa829393"
"Jake Paulson","- - -",27,2,0,4.959183190872894,6,6,0,0,0,0,,32.2,142,33,18,18,2,19,0,1,2,0,16,"sa829444"
"Spenser Watkins","- - -",26,3,0,5.666666666666667,6,5,0,0,0,0,,27,123,35,17,17,6,12,0,0,0,0,23,"sa829520"
"Turner Larkins","Blue Jays (A+)",23,3,2,2.16,7,3,0,0,0,0,,25,106,26,8,6,1,6,0,2,2,0,21,"sa829565"
"David Peterson","Mets (AA)",23,1,2,5.8153837621565945,5,5,0,0,0,0,,21.2,107,30,18,14,2,11,0,0,2,0,25,"sa829588"
"Cameron Bishop","Orioles (A+)",23,0,1,3.6,6,5,0,0,0,0,,25,118,27,11,10,2,14,0,3,1,1,31,"sa829601"
"Andre Jackson","Dodgers (A)",23,2,1,3.15584376498089,6,6,0,0,0,0,,25.2,112,20,10,9,0,15,0,0,4,0,22,"sa829605"
"Tyler Herb","- - -",27,2,2,5.472972267644177,5,4,0,0,0,0,,24.2,114,32,18,15,3,8,0,1,1,0,23,"sa829625"
"Devin Smeltzer","- - -",23,3,1,0.4864864864864865,6,6,0,0,0,0,,37,132,22,4,2,0,3,0,1,0,0,36,"sa829638"
"Zach Lewis","White Sox (A+)",24,2,1,6.91463495052558,7,4,0,0,0,0,,27.1,129,34,22,21,4,14,0,2,1,0,31,"sa829666"
"Michael Baumann","Orioles (A+)",23,0,2,3.802816390612912,5,5,0,0,0,0,,23.2,98,20,11,10,1,7,0,0,2,0,41,"sa829681"
"Brendan McKay","Rays (AA)",23,1,0,2.189188907057671,5,5,0,0,0,0,,24.2,91,15,6,6,2,5,0,1,3,0,40,"sa829698"
"Lucas Gilbreath","Rockies (A+)",23,2,0,3.176470588235294,7,7,0,0,0,0,,34,155,29,16,12,1,24,0,2,1,0,32,"sa829720"
"Will Gaddis","Rockies (A+)",23,1,3,8.072166218262696,7,7,0,0,0,0,,32.1,161,50,34,29,5,19,0,0,1,1,21,"sa829731"
"John Gavin","Giants (A+)",23,1,2,4.218750628642831,7,4,0,0,0,0,,21.1,104,28,12,10,0,12,0,1,1,0,24,"sa829790"
"Jeff Bain","Diamondbacks (A+)",23,3,1,3.0306117730258593,7,7,0,0,0,0,,32.2,138,24,13,11,3,16,0,2,0,0,35,"sa829808"
"Alex Faedo","Tigers (AA)",23,2,1,3.085714285714286,6,6,0,0,0,0,,35,136,29,12,12,5,5,0,2,0,0,37,"sa829855"
"Ricardo Sanchez","Mariners (AA)",22,4,1,1.75,6,6,0,0,0,0,,36,145,33,8,7,0,7,0,2,1,1,26,"sa830302"
"Bo Takahashi","Diamondbacks (AA)",22,2,2,5,7,7,0,0,0,0,,27,119,30,16,15,3,9,0,2,1,0,26,"sa830370"
"Malvin Pena","Nationals (A+)",22,2,1,7.967214360348804,5,5,0,0,0,0,,20.1,98,22,18,18,1,9,0,5,0,0,25,"sa830644"
"Adonis Medina","Phillies (AA)",22,0,1,5.400000735691716,5,5,0,0,0,0,,23.1,109,24,16,14,4,10,0,4,2,1,15,"sa832877"
"Manuel Rodriguez","Marlins (A)",22,2,1,3.6219516407514947,6,5,0,0,1,0,,27.1,119,26,16,11,1,9,0,2,3,1,20,"sa833402"
"Ben Bracewell","- - -",28,0,1,4.5,11,1,0,0,0,0,,20,99,19,14,10,1,20,0,3,1,0,18,"sa837103"
"Jesus Camargo","Cubs (A+)",23,1,0,2.5714285714285716,9,0,0,0,0,0,,21,81,11,7,6,2,8,0,0,3,0,20,"sa841386"
"Andrew Lee","Nationals (A+)",25,1,1,3.4615384615384617,7,2,0,0,0,0,,26,109,23,10,10,0,10,0,0,3,0,29,"sa856275"
"Jerry Keel","Padres (AAA)",25,3,0,4.846153846153846,7,7,0,0,0,0,,39,173,45,22,21,3,19,0,1,0,0,26,"sa856543"
"Zac Gallen","Marlins (AAA)",23,5,0,1.140845193013494,7,7,0,0,0,0,,47.1,166,19,7,6,4,8,0,1,0,1,55,"sa857550"
"Alvaro Seijas","Cardinals (A)",20,1,3,2.52,5,5,0,0,0,0,,25,108,22,9,7,2,11,0,2,4,0,32,"sa861440"
"Carlos Guzman","Tigers (A)",21,1,2,2.88,5,5,0,0,0,0,,25,103,16,10,8,2,15,0,1,0,0,23,"sa871477"
"Mauricio Llovera","Phillies (AA)",23,1,0,3.983607180174402,4,4,0,0,0,0,,20.1,86,13,9,9,2,13,0,0,0,1,24,"sa871671"
"Jesus Rodriguez","Tigers (A+)",21,1,3,4.5,6,6,0,0,0,0,,32,136,34,18,16,2,6,0,3,4,1,24,"sa871769"
"Alberto Guerrero","Marlins (A)",21,2,0,3.130434782608696,5,3,0,0,1,1,,23,98,23,11,8,1,10,0,0,4,0,21,"sa872514"
"Brandon Gold","Rockies (AA)",24,2,2,4.4430385110394575,6,6,0,0,0,0,,26.1,117,40,14,13,2,4,0,1,2,0,24,"sa872724"
"Cristian Castillo","White Sox (A+)",24,0,4,6.08450622498066,5,5,0,0,0,0,,23.2,110,34,19,16,5,7,0,0,1,0,24,"sa872742"
"Jorge Guzman","Marlins (AA)",23,1,3,4.21875,6,6,0,0,0,0,,32,130,26,15,15,2,18,0,3,1,1,32,"sa872759"
"Oliver Ortega","Angels (A+)",22,1,2,3.75,6,4,0,0,1,0,,24,100,15,14,10,2,16,0,0,4,0,32,"sa872800"
"Pedro Vasquez","Pirates (AA)",23,3,0,2.727272727272727,7,6,0,0,0,0,,33,132,30,11,10,3,6,0,1,2,0,21,"sa872824"
"Denyi Reyes","Red Sox (AA)",22,0,4,5.744681433888845,6,6,0,0,0,0,,31.1,136,31,22,20,2,13,0,0,3,0,26,"sa872864"
"Domingo Robles","Pirates (A+)",21,3,4,2.511627906976744,7,7,0,0,0,0,,43,172,31,15,12,4,11,0,3,3,0,34,"sa872881"
"Diego Cordero","Cardinals (A)",21,2,1,1.4464287684888524,6,6,0,0,0,0,,37.1,146,28,8,6,2,10,0,0,0,0,27,"sa873150"
"Juan De Paula","Blue Jays (A)",21,3,3,7.156625683724084,7,4,0,0,0,1,,27.2,136,38,25,22,2,16,0,2,3,1,19,"sa873153"
"Miguel Yajure","Yankees (A+)",21,1,4,4.175258388756568,6,6,0,0,0,0,,32.1,140,40,22,15,2,10,0,2,0,0,20,"sa873213"
"Tyson Miller","Cubs (AA)",23,1,1,0.8617022150833267,6,6,0,0,0,0,,31.1,115,15,4,3,0,8,0,0,1,0,30,"sa873257"
"Daniel Castano","Marlins (A+)",24,0,2,4.207791686641187,9,0,0,0,0,0,,25.2,113,27,16,12,2,6,0,2,1,0,27,"sa873271"
"Parker Dunshee","Athletics (AA)",24,2,2,1.894736842105263,6,6,0,0,0,0,,38,148,26,11,8,1,11,0,4,2,0,34,"sa873274"
"Thomas Jankins","- - -",23,2,1,4.5,5,5,1,0,0,0,,26,105,21,14,13,3,7,0,0,2,0,17,"sa873276"
"Parker Mushinski","Astros (A+)",23,0,0,2.554053724900616,6,4,0,0,1,0,,24.2,105,21,10,7,3,7,0,1,3,0,40,"sa873283"
"Brusdar Graterol","Twins (AA)",20,4,0,1.9115041666616028,7,7,0,0,0,0,,37.2,150,22,8,8,2,15,0,3,2,0,36,"sa873310"
"Eduard Bazardo","Red Sox (A+)",23,1,0,1.2089553959626433,8,0,0,0,2,1,,22.1,84,11,5,3,0,5,0,1,3,1,25,"sa873313"
"Hector Perez","Blue Jays (AA)",23,1,2,8.181818181818182,6,6,0,0,0,0,,22,108,32,20,20,2,17,0,0,5,0,30,"sa873324"
"Jorge Alcala","Twins (AA)",23,4,1,4.811880461153772,7,7,0,0,0,0,,33.2,142,37,19,18,3,7,0,2,1,1,40,"sa873325"
"Yennsy Diaz","Blue Jays (AA)",22,2,3,4.655172413793103,6,5,0,0,0,1,,29,126,26,18,15,4,13,0,1,0,0,26,"sa873331"
"Jhoan Duran","Twins (A+)",21,0,3,4.207791686641187,6,6,0,0,0,0,,25.2,104,22,12,12,3,9,0,0,1,0,27,"sa873347"
"Huascar Ynoa","- - -",21,1,3,4.569230098837324,8,3,0,0,1,1,,21.2,101,26,11,11,1,8,0,2,4,2,27,"sa873433"
"Elvin Rodriguez","Tigers (A+)",21,3,2,2.903225806451613,6,6,0,0,0,0,,31,126,23,11,10,2,13,0,4,1,0,23,"sa873437"
"Tomas Alastre","Nationals (A)",21,2,2,5.7,7,7,0,0,0,0,,30,142,28,23,19,4,23,0,5,10,0,28,"sa873529"
"Cam Vieaux","Pirates (AA)",25,1,2,2.673266922863207,6,6,0,0,0,0,,33.2,131,25,10,10,3,12,0,2,2,0,21,"sa873657"
"Alec Bettinger","Brewers (AA)",23,0,3,8.132529186050094,6,6,0,0,0,0,,27.2,125,33,26,25,5,8,0,1,0,0,31,"sa873670"
"Mitchell Jordan","Athletics (A+)",24,3,2,4.885714285714286,7,6,0,0,0,0,,35,154,34,21,19,8,11,0,4,6,0,45,"sa873675"
"Tanner Tully","Indians (AA)",24,2,3,3.8181818181818183,6,6,0,0,0,0,,33,138,35,14,14,1,7,0,1,0,0,27,"sa873685"
"Brett Adcock","Astros (AA)",23,0,4,9.45,6,5,0,0,0,0,,20,96,20,25,21,3,15,0,2,3,0,17,"sa873691"
"Brandon Bailey","Astros (AA)",24,0,1,4.569230098837324,6,4,0,0,0,0,,21.2,96,19,11,11,4,11,0,0,2,0,25,"sa873692"
"Zach Plesac","Indians (AA)",24,1,1,0.9642858456592349,6,6,0,0,0,0,,37.1,137,23,4,4,0,6,0,0,0,1,34,"sa873700"
"Humberto Mejia","Marlins (A)",22,2,0,2.511627628456423,7,4,0,0,1,0,,28.2,109,18,8,8,3,9,0,0,2,0,28,"sa873725"
"Eury Ramos","Cubs (A)",21,0,3,8.871429780064961,6,6,0,0,0,0,,23.1,110,32,24,23,6,11,0,1,5,0,21,"sa873729"
"Dalton Lehnen","Yankees (A+)",23,2,1,3,6,0,0,0,0,0,,21,88,16,7,7,1,11,0,0,2,0,21,"sa873948"
"Keegan Akin","Orioles (AAA)",24,0,1,4.939024964661129,6,6,0,0,0,0,,27.1,123,26,17,15,2,14,0,0,2,0,30,"sa873980"
"Cody Sedlock","Orioles (A+)",24,2,0,1.9518070046520228,5,5,1,1,0,0,,27.2,104,14,6,6,4,11,0,3,0,0,23,"sa874042"
"Bernardo Flores","White Sox (AA)",23,1,4,3.375,6,6,0,0,0,0,,32,128,24,16,12,4,7,0,0,1,1,22,"sa874080"
"Anthony Misiewicz","- - -",24,1,2,1.6363636363636365,6,5,1,0,0,0,,33,130,30,6,6,0,6,0,0,2,0,30,"sa874099"
"Duncan Robinson","Cubs (AAA)",25,1,1,4.764705214121031,5,5,0,0,0,0,,22.2,95,24,13,12,1,9,0,0,0,0,11,"sa874105"
"Logan Salow","Dodgers (A+)",24,2,0,2.5714285714285716,12,0,0,0,1,0,,21,84,9,7,6,1,11,0,2,2,0,33,"sa874231"
"Oddy Nunez","Pirates (A+)",22,1,1,4.655172413793103,6,6,0,0,0,0,,29,129,24,17,15,2,19,0,4,5,0,19,"sa874248"
"Beau Burrows","Tigers (AAA)",22,0,2,5.323942946858077,5,5,0,0,0,0,,23.2,104,21,15,14,4,11,0,1,1,0,26,"sa874682"
"Jake Woodford","Cardinals (AAA)",22,2,0,1.29807673262424,6,6,0,0,0,0,,34.2,138,20,7,5,3,19,0,0,2,0,32,"sa874753"
"Peter Lambert","Rockies (AAA)",22,2,2,5.551401077498523,7,7,0,0,0,0,,35.2,156,37,22,22,5,12,0,0,3,1,27,"sa874771"
"Tony Santillan","Reds (AA)",22,0,1,4.0344827586206895,6,6,0,0,0,0,,29,129,28,13,13,2,18,0,0,1,0,35,"sa874781"
"Juan Hillman","Indians (A+)",22,1,4,4.354838709677419,6,6,0,0,0,0,,31,141,38,26,15,2,12,0,2,6,0,20,"sa874796"
"Cristian Javier","Astros (A+)",22,2,0,0.7297296356858903,6,5,0,0,0,0,,24.2,104,14,4,2,1,14,0,0,2,0,32,"sa874816"
"Bryan Hudson","Cubs (A+)",22,1,2,4.628572059164328,5,5,0,0,0,0,,23.1,103,28,12,12,4,7,0,0,1,0,19,"sa874984"
"Jordan Stephens","White Sox (AAA)",26,2,3,9.478724365916595,6,6,0,0,0,0,,31.1,152,50,35,33,8,10,0,2,0,0,23,"sa875031"
"Bailey Falter","Phillies (AA)",22,3,1,2.3333333333333335,5,5,0,0,0,0,,27,112,28,11,7,3,6,0,0,1,0,23,"sa875033"
"Jack Wynkoop","Rockies (AA)",25,2,5,3.15,7,7,1,0,0,0,,40,160,35,15,14,5,9,0,1,0,0,31,"sa875060"
"JT Brubaker","Pirates (AAA)",25,2,1,2.5714285714285716,4,4,0,0,0,0,,21,86,19,6,6,2,4,0,3,1,0,20,"sa875176"
"Bubba Derby","Brewers (AAA)",25,0,2,4.645161290322581,7,6,0,0,0,0,,31,133,27,17,16,3,12,0,4,2,0,32,"sa875183"
"Logan Allen","Padres (AAA)",22,3,1,5.157302818158737,7,7,0,0,0,0,,29.2,134,32,21,17,4,13,1,1,1,0,34,"sa875192"
"Gray Fenter","Orioles (A)",23,2,1,2.0454545454545454,5,3,0,0,0,0,,22,88,15,10,5,3,10,0,1,1,0,32,"sa875233"
"Grant Borne","Nationals (A+)",25,1,0,5.478260869565218,7,4,0,0,0,0,,23,103,29,15,14,2,6,0,4,2,1,15,"sa875234"
"Will Stewart","Marlins (A+)",21,1,2,6.230768316596351,5,5,0,0,0,0,,21.2,100,20,15,15,2,12,0,5,0,0,22,"sa875247"
"James Naile","Athletics (AA)",26,3,2,5.454545454545454,6,6,0,0,0,0,,33,145,33,22,20,3,10,0,3,0,0,17,"sa875263"
"Tayler Saucedo","- - -",26,3,0,0.4090909090909091,8,2,0,0,0,1,,22,88,14,1,1,1,9,0,2,2,0,16,"sa875298"
"Nicholas Economos","Pirates (A)",24,4,1,2.60240933953603,7,4,0,0,0,0,,27.2,114,18,9,8,2,12,0,1,2,1,39,"sa875301"
"Patrick Sandoval","- - -",22,0,3,3.4225347170729274,6,5,0,0,0,0,,23.2,102,22,14,9,3,8,0,0,8,0,35,"sa875337"
"Matthew Kent","Red Sox (AA)",26,1,1,1.6874997988343479,6,2,0,0,0,0,,26.2,109,19,6,5,0,12,1,2,0,0,17,"sa875610"
"Justin Donatella","- - -",24,3,2,7.043477530740911,7,7,0,0,0,0,,30.2,143,38,26,24,7,13,0,3,0,0,27,"sa875616"
"Tyler Phillips","Rangers (A+)",21,2,2,1.1946901041635019,6,6,0,0,0,0,,37.2,140,28,6,5,1,6,0,1,1,0,28,"sa875646"
"Elliot Ashbeck","- - -",25,0,0,2.6129028012862383,10,0,0,0,0,0,,20.2,93,16,7,6,1,13,0,3,1,0,20,"sa875665"
"Austin Orewiler","Reds (A+)",26,0,3,5.178082868247211,6,5,0,0,0,0,,24.1,108,29,16,14,2,10,0,1,3,0,16,"sa875673"
"Ryne Inman","Mariners (A)",23,3,2,3,6,6,0,0,0,0,,27,113,17,16,9,2,10,0,3,1,0,44,"sa875696"
"Jio Orozco","Yankees (A)",21,3,2,1.8349517281470036,6,4,0,0,0,0,,34.1,134,28,8,7,0,6,0,4,4,1,27,"sa875701"
"Scooter Hightower","Pirates (AA)",25,1,3,5.522727871236787,7,6,0,0,0,0,,29.1,126,34,21,18,5,7,0,0,3,0,13,"sa875703"
"Brody Koerner","- - -",25,0,1,2.16,6,6,0,0,0,0,,25,108,21,9,6,1,15,0,0,2,0,17,"sa875744"
"Kyle Wilson","Mets (A+)",22,2,3,3.951219971728903,6,6,0,0,0,0,,27.1,121,33,13,12,3,13,0,0,2,0,19,"sa875768"
