Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Austin Schulfer","Twins (A)",23,3,1,2.177419019911517,7,1,0,0,0,0,,20.2,88,11,6,5,0,14,0,1,1,0,30,"sa3007585"
"Adam Wolf","Tigers (A)",22,1,3,9,5,5,0,0,0,0,,21,104,34,22,21,1,6,0,1,3,1,24,"sa3007587"
"Daniel Lynch","Royals (A+)",22,2,2,4.764705882352941,7,7,0,0,0,0,,34,155,45,19,18,2,11,0,0,4,0,33,"sa3007588"
"Tarik Skubal","Tigers (A+)",22,2,2,3.068182150687104,6,6,0,0,0,0,,29.1,114,22,13,10,1,6,0,1,1,0,41,"sa3007593"
"Daniel Bies","Yankees (A)",23,2,1,4.068493682194237,5,2,0,0,0,0,,24.1,102,22,14,11,0,9,0,0,1,0,34,"sa3007609"
"Trey Riley","Braves (A)",21,1,4,5.023255256912846,6,6,0,0,0,0,,28.2,127,32,17,16,3,15,0,0,1,0,23,"sa3007611"
"Brad Case","Pirates (A)",22,4,1,2.271027713522123,6,6,0,0,0,0,,35.2,139,27,10,9,3,2,0,2,0,0,25,"sa3007613"
"Tommy Parsons","- - -",23,4,0,1.3846153846153846,6,6,1,1,0,0,,39,148,26,9,6,1,7,0,0,3,0,31,"sa3007624"
"Kevin Smith","Mets (A+)",22,3,2,3.3750003657558145,6,6,0,0,0,0,,29.1,119,29,11,11,1,10,0,1,2,0,29,"sa3007710"
"Tyler Gray","Royals (A)",22,2,2,3.9705876784341925,6,2,0,0,1,0,,22.2,91,20,11,10,2,4,0,2,1,0,13,"sa3007723"
"Lyon Richardson","Reds (A)",19,0,3,5.4683550905101015,6,6,0,0,0,0,,26.1,121,33,21,16,3,9,0,4,2,0,25,"sa3007727"
"Frank German","Yankees (A+)",21,1,1,3.6,4,4,0,0,0,0,,20,83,18,9,8,2,6,0,0,3,0,17,"sa3007729"
"Thomas Ponticelli","Indians (A)",22,1,0,4.95,6,0,0,0,2,0,,20,87,22,13,11,2,6,0,0,5,0,14,"sa3007730"
