"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Jose Zapata","Cardinals (R)","17","35","120","145","23","17","6","0","0","18","20","17","0","42","5","3","0","3","1","0",".192","sa3006179"
"Mac James","- - -","25","54","167","193","32","29","3","0","0","16","14","24","0","27","0","2","0","4","1","2",".192","sa829039"
"Mason House","- - -","19","44","141","167","27","15","5","2","5","15","16","22","1","68","3","1","0","3","1","1",".191","sa3004278"
"Deivi Estrada","Braves (R)","17","45","115","136","22","15","6","1","0","16","6","17","0","29","3","0","0","0","6","5",".191","sa3006076"
"Alexander Samuel","- - -","18","39","136","161","26","15","7","2","2","19","26","20","0","52","2","3","0","1","4","1",".191","sa3003344"
"Andres Chaparro","Yankees (A-)","19","60","204","222","39","21","11","0","7","21","20","12","0","56","4","1","1","9","0","3",".191","sa916976"
"Rafael Brito","Indians/Brewers (R)","19","45","157","170","30","20","6","1","3","13","20","8","1","19","1","4","0","8","5","2",".191","sa3002815"
"Chuck Moorman","Rangers (AA)","24","49","157","179","30","19","7","1","3","9","12","20","0","61","0","1","1","7","0","1",".191","sa658355"
"Ryan Peurifoy","- - -","23","80","246","283","47","25","16","3","3","31","24","30","1","69","4","0","3","2","4","4",".191","sa3004686"
"Brailin Pena","Cubs (R)","17","61","178","233","34","24","7","3","0","31","20","42","0","40","3","4","5","4","17","11",".191","sa3005765"
"Dillon Dobson","- - -","24","100","288","323","55","31","14","0","10","33","32","31","1","103","3","1","0","4","3","4",".191","sa875376"
"Christian Andrade","Yankees (R)","19","36","110","124","21","14","3","0","4","13","11","12","0","51","2","0","0","1","3","2",".191","sa3003405"
"Mason Davis","- - -","25","40","131","142","25","16","6","3","0","14","9","7","1","25","0","2","2","2","4","3",".191","sa829296"
"Canaan Smith","Yankees (A-)","19","45","152","171","29","17","8","1","3","13","16","19","0","52","0","0","0","4","0","0",".191","sa3004279"
"Raymond Mora","Phillies (R)","17","53","173","200","33","26","6","1","0","18","12","15","1","39","6","2","4","4","4","7",".191","sa3002698"
"Hunter Steinmetz","- - -","21","32","105","120","20","12","6","2","0","17","5","9","0","27","3","3","0","1","8","1",".190","sa3007043"
"Wes Darvill","- - -","26","57","168","183","32","24","5","1","2","21","16","13","0","45","0","1","1","3","0","3",".190","sa501490"
"Sharif Othman","- - -","29","59","189","213","36","26","7","0","3","11","20","19","0","71","3","0","2","4","0","1",".190","sa578858"
"Stephen McGee","- - -","27","40","105","128","20","13","6","0","1","14","11","22","0","45","1","0","0","2","0","0",".190","sa737919"
"Ryan Scott","- - -","23","65","189","227","36","29","6","1","0","22","15","31","0","67","3","2","2","5","1","1",".190","sa738447"
"Hector Martinez","Dodgers (R)","17","43","142","175","27","24","2","0","1","25","19","21","0","27","6","4","1","2","7","5",".190","sa3002845"
"Jothson Flores","Indians (R)","19","46","142","168","27","22","4","1","0","18","17","20","0","38","4","1","1","1","4","2",".190","sa3005241"
"Jeffry Parra","Giants (A)","20","72","221","260","42","25","10","0","7","20","25","26","0","79","7","2","4","9","1","0",".190","sa918541"
"Zach Sullivan","- - -","22","56","179","191","34","19","12","1","2","22","15","6","0","59","1","0","5","3","4","1",".190","sa829083"
"Kyle Watson","- - -","22","110","337","395","64","45","13","2","4","49","39","49","0","137","2","3","4","4","18","2",".190","sa915803"
"Roger Marmol","Indians (R)","18","49","158","181","30","20","7","0","3","24","18","13","0","57","10","0","0","2","0","0",".190","sa3003399"
"Antonio Nunez","Astros (AAA)","25","69","216","242","41","30","8","2","1","24","20","18","0","77","2","3","3","3","9","6",".190","sa829188"
"Jacob Brown","Orioles (R)","19","32","116","128","22","16","2","0","4","12","14","8","0","44","2","1","1","2","0","0",".190","sa3004392"
"Jerry Seitz","- - -","23","39","116","127","22","20","2","0","0","9","5","5","0","47","4","2","0","2","0","1",".190","sa827965"
"Pat McInerney","- - -","23","89","285","347","54","31","12","1","10","38","30","54","0","106","3","3","2","10","5","3",".189","sa3004078"
"Kwan Adkins","Giants (R)","21","35","95","122","18","13","2","2","1","21","12","21","1","32","5","0","1","1","6","2",".189","sa3007000"
"Alvaro Rubalcaba","- - -","23","34","111","130","21","13","6","1","1","10","13","13","0","28","4","2","0","3","1","0",".189","sa3007882"
"Alberoni Nunez","Twins (R)","19","46","164","176","31","23","6","1","1","17","19","9","0","53","0","1","2","4","2","2",".189","sa3002633"
"Raymel Flores","- - -","23","52","164","186","31","23","8","0","0","14","9","13","0","48","2","0","6","3","6","3",".189","sa657503"
"Jan Mercado","Marlins (R)","18","43","127","147","24","20","4","0","0","17","8","13","1","38","4","1","2","2","6","5",".189","sa3005152"
