"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Malcom Nunez","Cardinals (R)","17","44","164","199","68","37","16","2","13","44","59","26","3","29","5","4","0","2","3","0",".415","sa3008113"
"Jose Villa","- - -","19","39","132","139","51","35","8","6","2","16","26","2","0","27","5","0","0","1","5","3",".386","sa3003253"
"Yuniesky Betancourt","Mexican (AAA)","36","112","461","485","178","120","42","1","15","68","85","19","2","37","1","4","0","10","6","2",".386","8585"
"Vladimir Guerrero Jr.","- - -","19","95","357","408","136","86","29","1","20","67","78","37","5","38","5","8","1","10","3","3",".381","sa920245"
"Isaac Rodriguez Salazar","Mexican (AAA)","27","103","418","479","155","118","25","4","8","85","61","40","0","55","8","6","7","8","31","7",".371","sa878470"
"Cal Stevenson","- - -","21","59","214","280","79","56","15","6","2","73","31","64","0","24","0","2","0","2","21","1",".369","sa3006871"
"Luis Garcia","Phillies (R)","17","43","168","187","62","47","11","3","1","33","32","15","1","21","4","0","0","1","12","8",".369","sa3007295"
"Francisco Peguero","Mexican (AAA)","30","52","212","238","78","49","14","2","13","42","60","14","1","51","7","5","0","10","0","0",".368","5496"
"Brian Hernandez","Mexican (AAA)","29","109","444","497","163","124","28","0","11","71","92","40","2","55","7","6","0","21","1","2",".367","sa503330"
"Logan O'Hoppe","Phillies (R)","18","34","109","124","40","27","10","1","2","19","21","10","0","28","1","4","0","2","2","1",".367","sa3007519"
"Diosbel Arias","Rangers (A-)","21","61","224","264","82","62","15","2","3","43","44","33","2","39","4","3","0","8","5","1",".366","sa3005308"
"Tucupita Marcano","- - -","18","52","194","237","71","62","5","3","1","45","26","30","1","16","3","4","6","3","15","7",".366","sa3002857"
"Michael Wing","Mexican (AAA)","29","83","301","338","110","68","22","2","18","60","76","25","0","77","3","7","2","8","3","1",".365","sa392185"
"Connor Hollis","Rays (R)","23","48","170","207","62","44","11","0","7","48","26","28","0","30","7","2","0","2","8","3",".365","sa3007870"
"Jesus Valdez","Mexican (AAA)","33","53","206","225","75","54","10","3","8","37","42","17","0","22","2","0","0","8","2","1",".364","sa244229"
"Victor Mendoza","Mexican (AAA)","27","41","110","123","40","27","8","0","5","17","18","13","2","16","0","0","0","4","0","0",".364","sa722315"
"Jon Del Campo","Mexican (AAA)","30","100","391","416","142","99","32","3","8","51","88","15","3","68","4","2","4","13","5","2",".363","sa328104"
"Olmo Rosario","Mexican (AAA)","37","112","444","491","161","119","23","4","15","68","84","39","3","46","0","8","0","14","8","6",".363","sa202325"
"Milton Smith","- - -","20","36","116","133","42","35","6","1","0","26","2","14","0","22","1","0","2","1","7","3",".362","sa3007076"
"Juan Soto","- - -","19","39","152","182","55","27","10","4","14","33","52","29","1","28","0","1","0","5","3","1",".362","20123"
"Henry Urrutia","- - -","31","88","332","388","120","82","24","1","13","64","73","53","5","63","3","0","0","8","3","0",".361","14441"
"Balbino Fuenmayor","Mexican (AAA)","28","104","410","443","148","106","24","0","18","50","80","23","9","69","9","1","0","7","0","0",".361","sa356978"
"Richard Palacios","- - -","21","45","169","190","61","45","8","2","6","26","30","19","0","27","0","2","0","3","7","1",".361","sa3006908"
"Michael Helman","- - -","22","39","147","164","53","41","6","2","4","28","22","9","0","18","5","3","0","2","10","6",".361","sa3008280"
"Gabriel Moreno","- - -","18","40","153","167","55","32","17","2","4","24","36","7","1","20","4","3","0","4","2","1",".359","sa3003226"
"Joerlin De Los Santos","Cardinals (R)","17","64","234","282","84","59","18","6","1","66","28","41","1","36","3","1","3","2","30","9",".359","sa3005723"
"Jose Alvarez","Astros (R)","18","44","131","152","47","39","8","0","0","23","15","17","0","27","2","2","0","1","5","2",".359","sa3003377"
"Tony Pena","- - -","20","39","137","150","49","33","10","1","5","37","31","11","0","39","2","0","0","1","5","1",".358","sa922560"
"Jose Heberto Felix","Mexican (AAA)","30","80","291","316","104","83","19","0","2","39","41","11","0","13","3","1","10","12","2","2",".357","sa447630"
"Jarren Duran","- - -","21","67","283","302","101","73","14","11","3","52","35","16","0","48","2","1","0","3","24","10",".357","sa3006786"
"Amado Nunez","White Sox (R)","20","60","241","259","86","53","21","6","6","39","52","15","0","71","1","2","0","5","3","0",".357","sa877349"
"Kyle Kasser","Royals (R)","22","42","171","186","61","54","6","0","1","25","29","13","0","17","0","1","1","2","1","0",".357","sa3006916"
"Yainer Diaz","Indians (R)","19","41","155","164","55","40","9","4","2","27","28","7","0","18","1","0","1","4","1","0",".355","sa3003386"
"Zack Shannon","Diamondbacks (R)","22","54","189","228","67","35","17","1","14","45","55","28","2","43","5","6","0","7","0","0",".354","sa3006647"
"Alejandro Kirk","Blue Jays (R)","19","58","206","244","73","52","10","1","10","31","57","33","3","21","2","3","0","7","2","0",".354","sa3005337"
"Nathan Eaton","Royals (R)","21","66","260","303","92","55","20","12","5","59","53","33","0","60","4","5","1","5","19","5",".354","sa3007074"
"Davis Bradshaw","- - -","20","46","164","184","58","49","6","3","0","25","19","12","1","27","6","0","2","1","20","5",".354","sa3007031"
"Robbie Podorsky","- - -","23","62","224","248","79","65","7","6","1","38","27","12","0","28","7","0","5","3","24","6",".353","sa3004066"
"CJ Alexander","- - -","21","52","196","226","69","52","8","7","2","21","27","27","0","42","1","2","0","3","4","2",".352","sa3006912"
"Luis Juarez","Mexican (AAA)","28","88","341","382","120","82","19","0","19","68","82","32","6","26","4","5","0","13","1","3",".352","sa509384"
"Tyler Freeman","Indians (A-)","19","72","270","301","95","60","29","4","2","49","38","8","1","22","19","4","0","9","14","3",".352","sa3004755"
"Jesus Castillo","Mexican (AAA)","35","107","378","486","133","90","25","1","17","82","100","92","12","57","9","7","0","0","4","2",".352","sa508184"
"Everth Cabrera","- - -","31","194","739","838","260","210","33","10","7","152","76","73","4","133","2","0","24","16","39","17",".352","8155"
"Luis Castro","- - -","22","57","202","236","71","44","17","2","8","34","36","20","1","48","12","2","0","1","8","2",".351","sa736954"
"Wander Franco","Rays (R)","17","61","242","273","85","57","10","7","11","46","57","27","1","19","2","2","0","5","4","3",".351","sa3007033"
"David Fletcher","Angels (AAA)","24","58","254","275","89","53","25","5","6","55","37","16","0","21","3","1","1","8","7","2",".350","17992"
"Grant Lavigne","Rockies (R)","18","59","206","258","72","51","13","2","6","45","38","45","1","40","6","1","0","2","12","7",".350","sa3007743"
"Taylor Ward","- - -","24","102","375","446","131","91","26","0","14","68","60","65","2","94","3","3","0","10","18","3",".349","17548"
"David Freitas","Mariners (AAA)","29","39","146","167","51","34","12","1","4","15","23","17","1","27","3","0","0","4","0","0",".349","10619"
"John Valente","- - -","23","48","189","197","66","50","13","1","2","26","22","6","1","17","1","1","0","2","10","7",".349","sa3006923"
"Axel Andueza","- - -","19","62","235","260","82","62","17","3","0","41","36","18","0","22","4","2","0","4","6","0",".349","sa3002712"
"Jose Lobaton","Mets (AAA)","33","39","132","151","46","29","9","0","8","22","27","18","2","31","1","0","0","2","1","0",".348","4243"
"Chase Lambert","Pirates (R)","22","32","112","134","39","32","4","1","2","19","20","16","0","12","3","3","0","4","6","0",".348","sa3007526"
"Luis Santana","Mets (R)","18","53","204","242","71","54","13","0","4","34","35","27","0","23","10","1","0","5","8","3",".348","sa921577"
"Alex Kirilloff","- - -","20","130","512","561","178","107","44","7","20","75","101","38","4","86","4","7","0","10","4","3",".348","sa917929"
"Jake Fraley","Rays (A+)","23","66","225","260","78","48","19","7","4","39","41","26","0","44","4","5","0","6","11","8",".347","sa857756"
"Brandon Dixon","Reds (AAA)","26","49","179","193","62","36","18","2","6","28","23","12","1","54","1","1","0","3","9","3",".346","15214"
"Xavier Edwards","- - -","18","45","159","195","55","46","8","1","0","40","16","31","1","25","1","1","3","0","22","1",".346","sa3007018"
"Austin Dean","- - -","24","109","397","446","137","100","20","5","12","71","68","39","0","56","7","3","0","6","2","2",".345","18288"
"Zachery Almond","Diamondbacks (R)","22","56","229","247","79","49","16","1","13","43","53","13","0","40","3","2","0","11","2","0",".345","sa3005104"
"Ryan Jeffers","- - -","21","64","241","284","83","59","17","0","7","48","33","34","0","46","9","0","0","7","0","1",".344","sa3007051"
"Sergio Perez","Mexican (AAA)","28","98","375","406","129","91","29","5","4","67","50","24","4","55","5","1","1","9","4","4",".344","sa508059"
"Ronnier Mustelier","Mexican (AAA)","33","90","317","363","109","88","16","1","4","35","50","34","2","34","4","4","4","8","3","1",".344","sa601536"
"Osleivis Basabe","Rangers (R)","17","52","192","222","66","46","16","3","1","37","34","23","0","25","2","3","2","1","12","6",".344","sa3006594"
"Austin Slater","Giants (AAA)","25","53","195","223","67","36","24","2","5","32","32","21","0","39","5","2","0","8","8","2",".344","16153"
"Deivi Munoz","Yankees (R)","18","41","131","142","45","26","10","9","0","26","19","9","0","16","1","1","0","2","12","4",".344","sa3006214"
"Saul Soto","Mexican (AAA)","39","108","385","455","132","101","17","0","14","61","61","63","2","53","1","6","0","20","0","0",".343","sa211076"
"Yeison Asencio","- - -","28","70","286","307","98","68","16","1","13","44","50","12","1","30","8","1","0","10","4","2",".343","sa548016"
"Michael Reed","- - -","25","97","333","404","114","77","26","0","11","69","39","62","3","98","7","2","0","3","10","3",".342","13228"
"J.D. Davis","Astros (AAA)","25","85","333","377","114","70","25","2","17","56","81","36","1","69","3","5","0","8","3","0",".342","16219"
"Jeff McNeil","- - -","26","88","339","384","116","66","26","5","19","72","71","36","2","42","6","3","0","9","6","0",".342","15362"
"Diory Hernandez","Mexican (AAA)","34","34","135","149","46","33","10","0","3","18","21","12","0","17","0","2","0","5","3","0",".341","4950"
"Dustin Fowler","Athletics (AAA)","23","55","229","239","78","51","17","6","4","37","27","9","0","41","0","1","0","2","13","2",".341","17098"
"Jack Herman","Pirates (R)","18","37","141","169","48","34","9","3","2","28","22","23","1","24","2","2","1","1","2","2",".340","sa3007877"
"Ronaiker Palma","- - -","18","51","191","211","65","57","6","1","1","25","33","12","0","13","3","4","1","6","9","9",".340","sa3005624"
"Wilmer Perez","- - -","20","35","121","139","41","31","9","0","1","25","26","11","1","17","2","5","0","2","2","0",".339","sa3002634"
"Ronny Rodriguez","Tigers (AAA)","26","63","260","275","88","54","20","5","9","42","40","10","0","47","2","2","1","2","10","8",".338","11875"
"Carlos Moncrief","Mexican (AAA)","29","78","311","360","105","66","24","7","8","62","47","41","1","69","1","5","1","6","5","9",".338","7511"
"Alec Keller","- - -","26","90","323","361","109","84","18","4","3","51","35","29","3","42","3","4","2","6","3","4",".337","sa829219"
"Curtis Terry","Rangers (A-)","21","67","246","290","83","49","17","2","15","51","60","32","3","64","11","1","0","8","1","1",".337","sa875607"
"Carlos Soler","- - -","18","50","202","229","68","45","14","8","1","46","40","18","0","49","6","3","0","2","7","7",".337","sa3003320"
"Eloy Jimenez","- - -","21","108","416","456","140","87","28","3","22","64","75","32","2","69","3","5","0","14","0","1",".337","sa830373"
"Juniel Querecuto","- - -","25","115","419","459","141","113","23","4","1","57","45","30","2","56","3","5","2","16","18","6",".337","12140"
"Oscar Sanay","Mexican (AAA)","26","93","318","355","107","85","18","3","1","60","42","11","1","37","13","5","8","13","5","3",".336","sa830476"
"Carlos Diaz","- - -","25","30","110","121","37","30","6","0","1","21","8","7","0","12","1","0","3","5","1","0",".336","sa736959"
"Amadeo Zazueta","- - -","32","83","333","359","112","90","15","2","5","60","52","15","0","27","2","7","2","14","11","3",".336","sa328602"
"Leandro Cedeno","Cardinals (R)","19","59","223","258","75","47","13","1","14","47","47","22","2","69","11","2","0","11","2","1",".336","sa873307"
"Ivan Herrera","- - -","18","30","116","135","39","28","6","4","1","23","25","11","0","22","6","2","0","2","1","1",".336","sa3003191"
"Bobby Honeyman","- - -","22","64","250","266","84","64","12","5","3","34","30","12","1","27","2","1","1","3","4","4",".336","sa3006645"
"Leo Heras","Mexican (AAA)","28","89","283","342","95","61","21","4","9","59","45","53","7","51","1","2","3","6","14","4",".336","sa508065"
"Stanley Martinez","Rangers (R)","21","45","146","167","49","37","9","1","2","21","21","17","0","40","3","1","0","4","2","4",".336","sa873540"
"Owen Miller","- - -","21","75","298","330","100","74","19","3","4","40","33","19","1","41","8","4","1","6","4","4",".336","sa3006673"
"Tony Kemp","Astros (AAA)","26","38","161","183","54","43","6","5","0","33","19","19","1","15","1","1","1","3","13","2",".335","14894"
"Patrick Dorrian","- - -","22","49","167","200","56","34","12","8","2","34","39","28","0","32","2","2","0","3","2","1",".335","sa3007629"
"Eddie Silva","- - -","22","53","203","221","68","42","19","1","6","30","37","9","0","35","6","2","1","2","5","5",".335","sa3007942"
"Brayan Rocchio","- - -","17","60","242","269","81","63","12","4","2","40","29","15","0","31","8","2","2","3","22","13",".335","sa3005898"
"Felix Pie","Mexican (AAA)","33","99","377","436","126","90","20","0","16","64","61","52","4","72","2","4","0","8","12","6",".334","3751"
"Tyler White","Astros (AAA)","27","70","255","313","85","53","18","0","14","55","53","46","1","39","8","4","0","7","1","1",".333","15564"
"Jose Fernandez","Angels (AAA)","30","91","357","394","119","82","19","1","17","66","59","33","3","34","4","0","0","11","2","2",".333","19254"
"Daric Barton","Mexican (AAA)","32","68","210","294","70","42","15","1","12","53","49","69","3","38","13","2","0","6","1","0",".333","5928"
"Coco Montes","Rockies (R)","21","69","267","310","89","60","18","3","8","55","42","35","0","69","4","4","0","2","8","6",".333","sa3006715"
"Alek Thomas","- - -","18","56","246","272","82","60","14","6","2","50","27","24","0","37","1","0","0","4","12","5",".333","sa3006892"
"Dustin Geiger","- - -","26","91","327","397","109","58","25","0","26","80","77","57","4","89","8","5","0","6","2","0",".333","sa549747"
"Luis Fonseca","- - -","33","160","624","677","208","163","33","2","10","113","77","45","0","108","2","0","6","18","18","8",".333","sa592342"
"Garrett Benge","- - -","22","41","141","171","47","34","10","1","2","23","19","30","0","25","0","0","0","0","1","1",".333","sa875340"
"Andres Regnault","Mets (R)","19","53","192","224","64","37","17","1","9","33","45","22","2","33","8","2","0","2","5","3",".333","sa917499"
"Colton Welker","Rockies (A+)","20","114","454","509","151","106","32","0","13","74","82","42","2","103","2","11","0","14","5","1",".333","sa917962"
"Josuan Hernandez","Mexican (AAA)","24","55","214","249","71","50","18","0","3","47","21","20","0","30","9","3","3","0","8","5",".332","sa3008085"
"Daniel Robinson","Dodgers (R)","21","57","205","241","68","49","13","4","2","50","36","32","0","24","2","2","0","7","11","4",".332","sa3007027"
"Kyle Tucker","Astros (AAA)","21","100","407","465","135","81","27","3","24","86","93","48","2","84","2","6","1","11","20","4",".332","18345"
"Yaniery Guzman","Rangers (R)","20","53","190","212","63","39","12","5","7","36","52","17","1","33","1","4","0","2","2","1",".332","sa3003383"
"Noel Cuevas","Rockies (AAA)","26","44","160","177","53","34","10","4","5","17","29","16","0","23","0","1","0","3","3","5",".331","11894"
"Trevor Casanova","Twins (R)","22","38","145","162","48","31","14","0","3","24","17","13","0","38","2","2","0","6","2","1",".331","sa3007294"
"Kevin Medrano","- - -","28","104","396","434","131","90","32","5","4","59","50","30","3","77","1","2","5","4","10","1",".331","sa577957"
"Victor Heredia","Twins (R)","18","60","233","260","77","49","16","4","8","47","56","14","2","40","5","8","0","2","1","4",".330","sa3002625"
"Elmer Reyes","Mexican (AAA)","27","88","348","369","115","91","18","2","4","46","42","6","0","46","7","4","4","9","0","2",".330","sa506274"
"Bernardo Heras","Mexican (AAA)","22","65","215","240","71","56","12","1","2","32","34","15","3","37","1","1","8","7","1","0",".330","sa868882"
"Carlos Figueroa","Mexican (AAA)","26","108","424","487","140","113","19","5","3","90","49","48","1","50","4","2","9","6","31","14",".330","sa659614"
"Mariel Bautista","Reds (R)","20","56","209","233","69","45","12","4","8","43","37","16","0","29","5","3","0","4","16","3",".330","sa872535"
"Miguel Vargas","- - -","18","53","200","229","66","46","15","3","2","35","30","23","0","36","3","2","1","7","7","1",".330","sa3006896"
"Juan Carlos Abreu","- - -","21","52","194","221","64","49","6","8","1","39","16","24","0","37","1","1","1","2","4","5",".330","sa918527"
"Nathaniel Lowe","- - -","22","130","482","555","159","99","32","1","27","93","102","68","6","90","4","1","0","9","1","1",".330","sa918283"
"Edgardo Rodriguez","Rays (R)","17","51","191","216","63","45","11","1","6","34","34","12","1","19","8","5","0","3","1","1",".330","sa3005532"
"Jesus Fabela","Mexican (AAA)","23","100","279","346","92","72","12","4","4","56","39","39","1","50","16","3","9","4","5","11",".330","sa3001061"
"Hanser Alberto","Rangers (AAA)","25","101","361","384","119","92","17","3","7","45","58","9","1","28","3","6","5","11","0","3",".330","11902"
"Alex Verdugo","Dodgers (AAA)","22","91","343","379","113","84","19","0","10","44","44","34","2","47","1","1","0","11","8","2",".329","17027"
"Todd Czinege","- - -","23","63","234","261","77","37","21","3","16","48","49","16","1","63","5","5","0","1","4","2",".329","sa873611"
"William Jimenez","Cardinals (R)","22","41","143","163","47","35","6","4","2","27","25","17","0","33","1","1","1","1","3","2",".329","sa917134"
"Blaze Alexander","- - -","19","55","210","247","69","40","19","5","5","52","42","31","1","52","3","3","0","3","10","3",".329","sa3007742"
"Matt Hearn","- - -","22","67","280","309","92","80","7","5","0","42","27","21","0","52","2","0","4","1","18","11",".329","sa918523"
"Alberto Querales","Mexican (AAA)","30","84","277","296","91","73","12","2","4","47","34","8","0","48","1","2","8","5","9","5",".329","sa913976"
"Emmanuel Avila","Mexican (AAA)","29","105","387","441","127","98","20","2","7","57","56","30","7","53","13","4","7","7","1","1",".328","sa393008"
"Tyler Nevin","Rockies (A+)","21","100","378","417","124","85","25","1","13","59","62","34","0","77","3","2","0","10","4","3",".328","sa874752"
"Mikey Edie","Giants (A-)","20","36","125","143","41","34","6","0","1","18","10","11","0","16","5","1","1","1","8","8",".328","sa827967"
"Donovan Solano","- - -","30","89","339","367","111","84","22","1","4","41","46","16","0","41","5","7","0","11","4","1",".327","8623"
"Buddy Kennedy","Diamondbacks (R)","19","57","226","255","74","52","17","1","4","46","32","26","0","34","1","2","0","5","2","0",".327","sa3004617"
"JB Shuck","Marlins (AAA)","31","51","165","190","54","38","13","0","3","28","16","23","1","23","0","2","0","1","11","1",".327","6677"
"Niko Decolati","Rockies (R)","20","69","263","304","86","57","15","3","11","55","56","34","0","56","6","1","0","4","17","5",".327","sa3006670"
"Josh Fuentes","Rockies (AAA)","25","135","551","586","180","115","39","12","14","93","95","21","0","103","6","7","1","17","3","5",".327","sa829934"
"Luis Gomez","Twins (R)","17","43","138","173","45","35","7","3","0","34","22","31","0","32","2","1","1","0","15","6",".326","sa3005947"
"Brock Deatherage","- - -","22","60","230","257","75","54","8","6","7","43","30","21","2","64","3","3","0","1","19","3",".326","sa3006848"
"Jose Aguilar","Mexican (AAA)","28","102","313","382","102","70","22","6","4","64","46","48","2","45","7","4","9","6","13","3",".326","sa546354"
"Kyle Isbel","- - -","21","64","264","293","86","55","22","2","7","57","32","26","0","60","2","1","0","3","24","6",".326","sa3006861"
"Jonathan Jones","- - -","28","93","350","407","114","72","26","7","9","76","50","41","0","71","5","6","5","4","29","4",".326","sa526453"
"Raul Hernandez","- - -","22","49","169","184","55","42","12","0","1","21","23","11","0","36","2","1","1","2","2","1",".325","sa873181"
"Leonel Jimenez","Red Sox (R)","18","37","126","149","41","34","5","2","0","21","18","19","0","20","2","1","1","1","7","3",".325","sa3005501"
"Antonio Lamas","- - -","28","145","517","590","168","144","18","0","6","73","50","51","0","84","8","6","8","26","18","4",".325","sa502224"
"Carlos Rodriguez","- - -","17","61","237","252","77","61","13","1","2","42","33","9","2","20","5","0","1","3","14","9",".325","sa3005478"
"Fidel Mejia","Cubs (R)","19","50","188","211","61","49","9","2","1","27","24","20","0","33","1","2","0","3","3","4",".324","sa872516"
"Eliezer Alfonzo","- - -","18","55","179","216","58","45","11","1","1","29","33","29","0","17","3","5","0","1","6","2",".324","sa3003262"
"Alex Valdez","Mexican (AAA)","33","100","392","438","127","87","21","5","14","66","61","38","2","73","2","3","3","3","2","2",".324","sa254456"
"Gavin Lux","- - -","20","116","463","524","150","100","27","8","15","85","57","57","2","88","2","2","0","5","13","9",".324","sa917933"
"Franmil Reyes","Padres (AAA)","22","58","210","250","68","40","11","1","16","50","52","37","4","59","2","1","0","7","0","0",".324","14566"
"Ruben Santana","Twins (R)","20","51","173","202","56","35","15","6","0","44","30","23","1","19","3","2","1","1","15","6",".324","sa917167"
"Jim Haley","Rays (A)","23","80","300","328","97","66","22","2","7","47","47","15","0","52","6","4","3","6","13","2",".323","sa918418"
"Maxwell Leon","Mexican (AAA)","34","83","254","300","82","61","16","1","4","47","31","35","2","50","7","2","2","8","19","3",".323","sa326041"
"Payton Squier","Athletics (A-)","22","43","158","185","51","39","8","2","2","25","29","22","0","14","1","4","0","4","5","2",".323","sa829814"
"Mike Tauchman","Rockies (AAA)","27","112","403","471","130","77","26","7","20","84","81","60","2","70","2","6","0","7","12","10",".323","15274"
"Yorlis Rodriguez","Giants (R)","18","41","155","183","50","37","9","2","2","30","26","19","0","25","5","2","2","3","6","6",".323","sa3007299"
"Pablo Olivares","- - -","20","70","242","276","78","61","11","0","6","37","30","20","0","46","8","1","5","3","10","4",".322","sa872547"
"Geraldo Perdomo","- - -","18","57","211","257","68","52","7","5","4","43","24","39","3","44","5","1","1","3","24","6",".322","sa3003290"
"Yadir Drake","- - -","28","176","658","749","212","142","42","8","20","100","95","64","3","59","12","10","5","23","15","2",".322","sa869674"
"Jonathan Engelmann","- - -","21","38","118","136","38","24","6","3","5","25","27","12","0","29","6","0","0","4","8","3",".322","sa3006858"
"Delmon Young","- - -","32","70","292","314","94","62","18","1","13","42","70","12","0","69","7","3","0","7","1","0",".322","2140"
"Tanner Nishioka","- - -","23","87","311","353","100","65","22","2","11","53","52","31","0","73","9","1","1","12","4","3",".322","sa3002754"
"Beau Branton","- - -","22","49","168","197","54","45","5","4","0","30","18","17","0","25","12","0","0","2","15","3",".321","sa3007327"
"Jose Osuna","Pirates (AAA)","25","82","302","342","97","62","26","0","9","45","59","31","0","51","1","7","1","8","5","3",".321","12937"
"Steven Kraft","Pirates (R)","21","31","109","126","35","23","9","1","2","18","29","13","0","11","3","1","0","1","3","2",".321","sa3007751"
"Jhon Torres","- - -","18","44","162","186","52","35","9","0","8","27","30","19","0","37","5","0","0","6","4","1",".321","sa3003233"
"Will Golsan","Rockies (R)","22","63","265","299","85","67","13","2","3","58","26","30","0","42","2","2","0","6","16","10",".321","sa3006719"
"Walter Rasquin","- - -","22","59","212","242","68","50","13","2","3","36","33","23","1","43","4","2","1","4","16","3",".321","sa754712"
"Marc Flores","Mexican (AAA)","26","74","209","254","67","41","13","0","13","43","46","35","5","49","6","4","0","0","3","1",".321","sa829492"
"Matt Vierling","- - -","21","62","234","257","75","49","18","1","7","32","31","13","1","40","5","3","2","7","7","6",".321","sa3006781"
"Alejo Lopez","Reds (A)","22","65","234","260","75","57","16","2","0","29","17","18","1","31","4","3","1","2","7","6",".321","sa875851"
"Johan Rojas","Phillies (R)","17","68","259","292","83","65","12","4","2","42","31","18","0","37","8","5","2","4","19","8",".320","sa3005784"
"Angel Maita","Red Sox (R)","17","45","181","203","58","46","8","4","0","31","15","16","0","38","2","2","1","2","9","6",".320","sa3005556"
"Moises Gutierrez","- - -","23","167","637","692","204","118","44","6","36","114","128","41","4","148","6","2","6","12","4","2",".320","sa595706"
"Yoandy Rea","Tigers (R)","18","55","178","206","57","40","10","7","0","27","36","14","1","20","12","1","0","10","2","5",".320","sa3006224"
"Wilfredo Flores","Phillies (R)","18","62","228","260","73","59","12","2","0","35","21","24","1","48","5","1","2","2","18","11",".320","sa3006606"
"Vidal Brujan","- - -","20","122","475","548","152","111","25","7","9","112","53","63","0","68","5","3","2","3","55","19",".320","sa872786"
"Harold Ramirez","Blue Jays (AA)","23","120","463","505","148","100","37","0","11","60","70","27","2","88","9","5","1","6","16","2",".320","sa660586"
"Roberto Alvarez","Rays (R)","18","44","169","177","54","39","12","1","2","19","13","8","0","16","0","0","0","10","2","1",".320","sa917107"
"Felix Valerio","- - -","17","67","263","303","84","62","17","2","3","54","22","34","1","21","6","0","0","5","16","6",".319","sa3005613"
"Gilberto Jimenez","Red Sox (R)","17","67","257","284","82","64","10","8","0","42","22","19","1","40","8","0","0","4","16","14",".319","sa3005507"
"Luken Baker","- - -","21","45","163","184","52","37","11","0","4","26","22","19","0","35","0","2","0","10","0","0",".319","sa3008267"
"Cedric Hunter","Mexican (AAA)","30","106","408","456","130","87","23","1","19","64","89","35","4","59","3","10","0","10","13","7",".319","2833"
"Rusney Castillo","Red Sox (AAA)","30","117","474","511","151","115","31","0","5","56","59","29","0","80","4","4","0","17","13","7",".319","17016"
"Tony Renda","- - -","27","68","267","292","85","60","19","1","5","49","27","20","0","44","4","1","0","3","10","2",".318","13443"
"Michael Chirinos","Rangers (R)","18","69","242","298","77","65","7","3","2","47","42","49","0","20","2","4","1","5","13","4",".318","sa3003239"
"Ian Sagdal","Nationals (A+)","25","101","390","437","124","87","28","3","6","52","58","35","1","69","4","8","0","9","7","4",".318","sa875695"
"Dalton Combs","Giants (A-)","23","38","129","144","41","27","8","1","5","20","21","8","0","35","5","2","0","2","1","0",".318","sa3004758"
"Socrates Brito","Diamondbacks (AAA)","25","114","428","478","136","80","34","5","17","85","69","44","0","104","3","3","0","3","15","4",".318","12944"
"AJ Graffanino","- - -","20","43","170","184","54","45","8","0","1","21","17","9","0","27","0","4","1","5","5","3",".318","sa3008030"
"Daniel Rivero","Pirates (R)","17","61","230","258","73","62","10","1","0","38","31","20","0","17","5","3","0","5","11","6",".317","sa3005525"
"Ivan Terrazas","Mexican (AAA)","34","81","268","305","85","68","15","0","2","36","39","28","3","37","1","3","5","12","3","4",".317","sa254504"
"Jabari Blash","Angels (AAA)","28","83","287","346","91","40","21","1","29","73","68","49","1","102","9","1","0","8","5","7",".317","11247"
"Jorge Cantu","Mexican (AAA)","36","87","328","360","104","70","22","0","12","51","58","26","2","50","1","4","0","6","1","0",".317","2521"
"Roberto Caro","- - -","24","82","265","321","84","62","14","6","2","40","27","43","2","62","5","1","7","2","36","10",".317","sa657285"
"Russ Olive","- - -","22","58","202","244","64","43","18","3","0","29","27","32","1","53","4","6","0","1","6","2",".317","sa3006930"
"Daniel Woodrow","- - -","23","97","363","409","115","95","14","3","3","53","38","32","1","76","3","6","5","5","23","14",".317","sa918257"
"Agustin Murillo","Mexican (AAA)","36","104","398","464","126","89","21","0","16","67","70","51","4","58","6","6","3","9","12","2",".317","sa244092"
"Ruben Sosa","- - -","27","90","338","417","107","71","25","7","4","67","47","56","1","64","6","7","10","3","20","7",".317","sa599247"
"Rubendy Jaquez","- - -","19","55","196","230","62","47","8","3","4","32","32","28","0","40","2","2","2","2","18","7",".316","sa917022"
"Gunnar Troutwine","White Sox (R)","22","35","117","138","37","29","6","0","2","17","18","19","0","20","0","0","2","4","0","0",".316","sa3006785"
"Diego Rincones","Giants (A-)","19","61","257","277","81","59","15","0","7","30","34","10","0","32","8","2","0","11","0","0",".315","sa916849"
"Julio Rodriguez","Mariners (R)","17","59","219","255","69","42","13","9","5","50","36","30","1","40","4","2","0","3","10","0",".315","sa3005720"
"Ryan McKenna","- - -","21","127","470","551","148","107","26","4","11","95","53","66","2","101","10","0","4","2","9","7",".315","sa875055"
"Chris Roberson","Mexican (AAA)","38","99","397","441","125","77","30","3","15","80","58","30","3","43","8","2","4","10","21","3",".315","3577"
"Daniel Mayora","- - -","32","85","324","371","102","76","19","0","7","60","36","39","4","47","4","2","2","12","9","3",".315","sa291160"
"Abrahan Gutierrez","Phillies (R)","18","41","162","178","51","39","10","1","1","24","30","10","0","16","3","2","0","3","2","2",".315","sa3004263"
"Riley Delgado","- - -","23","122","486","532","153","127","24","0","2","50","56","29","0","48","13","3","1","6","1","0",".315","sa3004934"
